Issue Type,Summary,Description,Story Points,Original Estimate,Labels,Epic Link,Parent
Epic,Multi-Tenant Messenger Chatbot Platform,"Refactor MVP to production-ready multi-tenant platform for Múi Xù Cosmetics and future clients. 40 days total implementation.",,,"messenger-bot,multi-tenant,production",,
Story,Phase 1: Quick Reply Handler,"Implement Quick Reply button handler to support both Quick Reply and Postback events from Facebook Messenger.",5,3d,"phase-1,quick-reply,facebook-api",Multi-Tenant Messenger Chatbot Platform,
Task,Create QuickReplyHandler service,"Implement service to handle Quick Reply payloads from webhook",2,4h,"quick-reply,handler",,Phase 1: Quick Reply Handler
Task,Update WebhookProcessor for Quick Reply,"Integrate QuickReplyHandler into webhook processing flow",2,4h,"webhook,integration",,Phase 1: Quick Reply Handler
Task,Add Quick Reply unit tests,"Write unit tests for QuickReplyHandler service",1,2h,"testing,unit-test",,Phase 1: Quick Reply Handler
Task,Add Quick Reply integration tests,"Write integration tests for Quick Reply webhook flow",2,2h,"testing,integration-test",,Phase 1: Quick Reply Handler
Story,Phase 2A: Nobita API Integration (Basic),"Integrate with Nobita CRM API for product sync and order creation.",3,3d,"phase-2,nobita-api,integration",Multi-Tenant Messenger Chatbot Platform,
Task,Create Nobita API client,"Implement HTTP client for Nobita API with authentication",2,4h,"api-client,nobita",,Phase 2A: Nobita API Integration (Basic)
Task,Implement product sync from Nobita,"Sync products from Nobita API to local database",3,6h,"product-sync,nobita",,Phase 2A: Nobita API Integration (Basic)
Task,Implement order creation to Nobita,"Send approved orders to Nobita CRM",2,4h,"order-creation,nobita",,Phase 2A: Nobita API Integration (Basic)
Task,Add Nobita API tests,"Write unit and integration tests for Nobita client",2,2h,"testing,nobita",,Phase 2A: Nobita API Integration (Basic)
Story,Phase 2B: Draft Order + Email Notification,"Implement local draft order system with email notifications for staff review.",5,5d,"phase-2,draft-order,email",Multi-Tenant Messenger Chatbot Platform,
Task,Create DraftOrder entity and repository,"Design and implement draft order database schema",2,4h,"database,draft-order",,Phase 2B: Draft Order + Email Notification
Task,Implement SMTP email service,"Setup email service for sending notifications",2,4h,"email,smtp",,Phase 2B: Draft Order + Email Notification
Task,Create email templates,"Design HTML email templates for draft order notifications",1,2h,"email,templates",,Phase 2B: Draft Order + Email Notification
Task,Implement draft order workflow,"Bot → Draft → Email → Review → Approve → Nobita",3,8h,"workflow,draft-order",,Phase 2B: Draft Order + Email Notification
Task,Add draft order tests,"Write tests for draft order creation and email sending",2,3h,"testing,draft-order",,Phase 2B: Draft Order + Email Notification
Story,Phase 2C: Customer Tracking & Risk Scoring,"Implement local customer tracking with risk scoring and tagging system.",3,2d,"phase-2,customer-tracking,risk-scoring",Multi-Tenant Messenger Chatbot Platform,
Task,Create Customer entity,"Design customer tracking schema with risk score",2,3h,"database,customer",,Phase 2C: Customer Tracking & Risk Scoring
Task,Implement risk scoring algorithm,"Calculate risk score based on order history and behavior",3,5h,"risk-scoring,algorithm",,Phase 2C: Customer Tracking & Risk Scoring
Task,Implement customer tagging system,"Tag customers (VIP, potential scammer, etc.)",2,3h,"tagging,customer",,Phase 2C: Customer Tracking & Risk Scoring
Task,Add customer tracking tests,"Write tests for risk scoring and tagging",2,2h,"testing,customer",,Phase 2C: Customer Tracking & Risk Scoring
Story,Phase 3: Simplified State Machine,"Refactor from 15 states to 6 states with sales-focused flow.",8,7d,"phase-3,state-machine,refactor",Multi-Tenant Messenger Chatbot Platform,
Task,Design 6-state flow,"Design new state flow: Idle → QuickReply → Consulting → CollectingInfo → DraftOrder → Complete",3,4h,"design,state-machine",,Phase 3: Simplified State Machine
Task,Implement new state handlers,"Implement 6 new state handlers",5,16h,"state-handlers,implementation",,Phase 3: Simplified State Machine
