Issue Type,Summary,Description,Status,Story Points,Original Estimate,Labels,Epic Link,Parent
Story,Phase 0: Foundation (Completed),"Core infrastructure already implemented: Database, AI Integration, State Machine, RAG Layer",Done,21,15d,"phase-0,foundation,completed",Multi-Tenant Messenger Chatbot Platform,
Task,Setup PostgreSQL with pgvector,PostgreSQL 16 with pgvector extension for RAG,Done,3,1d,"database,pgvector,completed",,Phase 0: Foundation (Completed)
Task,Implement Gemini AI Integration,GeminiService with text generation and chat completion,Done,5,2d,"ai,gemini,completed",,Phase 0: Foundation (Completed)
Task,Implement RAG Layer,GeminiEmbeddingService + VectorSearchRepository for semantic product search,Done,5,3d,"rag,vector-search,completed",,Phase 0: Foundation (Completed)
Task,Create Product Catalog entities,"Product, ProductVariant, Gift, ProductGiftMapping entities",Done,3,2d,"entities,product,completed",,Phase 0: Foundation (Completed)
Task,Implement 17-state State Machine,ConversationStateMachine with 17 states and handlers,Done,8,5d,"state-machine,completed",,Phase 0: Foundation (Completed)
Task,Create repositories and services,"ProductRepository, GiftRepository, ProductGiftMappingRepository",Done,3,2d,"repository,service,completed",,Phase 0: Foundation (Completed)
Task,Create QuickReplyHandler,Orchestrate services and format response message,Done,3,4h,"handler,quick-reply,completed",,Phase 1: Quick Reply Handler
Task,Update WebhookProcessor for Quick Reply,Integrate QuickReplyHandler into webhook flow,Done,2,3h,"webhook,integration,completed",,Phase 1: Quick Reply Handler
Task,Add Quick Reply unit tests,22 unit tests for all services,Done,2,3h,"testing,unit-test,completed",,Phase 1: Quick Reply Handler
Task,Fix high-priority code review issues,"Null check, database indexes, input validation",Done,1,2h,"bugfix,security,completed",,Phase 1: Quick Reply Handler
Task,Add auto-migration on startup,Auto-apply EF migrations in Development mode,Done,1,1h,"migration,automation,completed",,Phase 1: Quick Reply Handler
Story,Phase 1B: Quick Reply Configuration,Configure 3 Quick Reply buttons in Facebook Page and ensure state transition,To Do,2,1d,"phase-1b,quick-reply,configuration",Multi-Tenant Messenger Chatbot Platform,
Task,Configure Facebook Page Quick Reply buttons,"Setup 3 buttons with payloads: PRODUCT_KCN, PRODUCT_KL, PRODUCT_COMBO_2",To Do,1,2h,"facebook,configuration",,Phase 1B: Quick Reply Configuration
Task,Ensure state transition to CollectingInfo,"After Quick Reply, bot should ask for phone + address",To Do,2,4h,"state-machine,transition",,Phase 1B: Quick Reply Configuration
Task,Test end-to-end Quick Reply flow,Manual testing with real Facebook Page,To Do,1,2h,"testing,e2e",,Phase 1B: Quick Reply Configuration
Story,Phase 2: Simplified State Machine (6 states),Refactor from 17 states to 6 sales-focused states: Idle → QuickReply → Consulting → CollectingInfo → DraftOrder → Complete,To Do,13,8d,"phase-2,state-machine,refactor",Multi-Tenant Messenger Chatbot Platform,
